Name,pIC50
62,7.721246399
13,7.346787486
95,7
76,6.669586227
40,6.450996738
71,6.012333735
30,5.711974465
10,5
59,5
106,5
96,4.522878745
14,7.638272164
16,7.346787486
51,6.924453039
12,6.655607726
104,6.4225082
42,6
28,5.688246139
18,5
60,5
5,4.823908741
112,4.522878745
111,7.619788758
26,7.259637311
64,6.835647144
11,6.560667306
1,6.305394801
67,6
101,5.581698709
31,5
70,5
102,4.795880017
49,7.537602002
39,7.173925197
54,6.829738285
23,6.528708289
19,6.268411235
110,6
27,5.530177984
35,5
74,5
4,4.769551079
55,7.455931956
69,7.142667504
7,6.772113295
87,6.518557371
3,6.228412519
116,6
78,5.427244535
36,5
75,5
41,4.769551079
107,7.408935393
73,7.13076828
99,6.744727495
15,6.49757288
109,6.210419288
117,6
61,5.397940009
37,5
80,5
85,4.769551079
45,7.387216143
81,7.13076828
72,6.714442691
44,6.463441557
115,6.197910742
33,5.874518734
94,5.301029996
43,5
91,5
34,4.744727495
65,7.366531544
6,7.050609993
63,6.709965389
38,6.458420756
98,6.189095719
82,5.822752164
22,5.207608311
47,5
103,5
46,4.602059991
86,7.356547324
89,7.004364805
113,6.671620397
84,6.453457337
29,6.044793462
24,5.742321425
88,5.077845675
52,5
105,5
93,4.522878745
